time,prey,predator
51.200,20.070409,3.707225
51.300,21.636996,3.716623
51.400,23.324148,3.744268
51.500,25.139083,3.791980
51.600,27.088887,3.862040
51.700,29.180300,3.957305
51.800,31.419440,4.081340
51.900,33.811428,4.238600
52.000,36.359893,4.434658
52.100,39.066316,4.676502
52.200,41.929166,4.972910
52.300,44.942775,5.334935
52.400,48.095871,5.776522
52.500,51.369702,6.315286
52.600,54.735648,6.973468
52.700,58.152257,7.779082
52.800,61.561690,8.767220
52.900,64.885634,9.981403
53.000,68.021047,11.474712
53.100,70.836413,13.310195
53.200,73.169919,15.559669
53.300,74.831759,18.299569
53.400,75.613699,21.602116
53.500,75.309292,25.520200
53.600,73.746740,30.065677
53.700,70.831967,35.184036
53.800,66.592071,40.733232
53.900,61.201960,46.478458
54.000,54.976358,52.113149
54.100,48.320846,57.306684
54.200,41.655514,61.764921
54.300,35.339631,65.281216
54.400,29.623646,67.760383
54.500,24.638181,69.212396
54.600,20.412155,69.725628
54.700,16.904336,69.433644
54.800,14.034784,68.486166
54.900,11.709064,67.028853
55.000,9.833709,65.191917
55.100,8.324381,63.085469
55.200,7.109083,60.799097
55.300,6.128450,58.403680
55.400,5.334612,55.954109
55.500,4.689498,53.492147
55.600,4.163074,51.049064
55.700,3.731749,48.647876
55.800,3.377016,46.305192
55.900,3.084352,44.032683
56.000,2.842337,41.838240
56.100,2.641970,39.726869
56.200,2.476130,37.701392
56.300,2.339173,35.762983
56.400,2.226603,33.911575
56.500,2.134836,32.146184
56.600,2.061008,30.465148
56.700,2.002826,28.866318
56.800,1.958459,27.347199
56.900,1.926449,25.905066
57.000,1.905641,24.537045
57.100,1.895130,23.240180
57.200,1.894218,22.011485
57.300,1.902385,20.847980
57.400,1.919259,19.746720
57.500,1.944599,18.704817
57.600,1.978275,17.719458
57.700,2.020264,16.787911
57.800,2.070632,15.907541
57.900,2.129533,15.075809
58.000,2.197204,14.290276
58.100,2.273959,13.548607
58.200,2.360188,12.848570
58.300,2.456361,12.188036
58.400,2.563022,11.564975
58.500,2.680796,10.977460
58.600,2.810388,10.423655
58.700,2.952588,9.901824
58.800,3.108274,9.410318
58.900,3.278418,8.947580
59.000,3.464092,8.512135
59.100,3.666470,8.102595
59.200,3.886841,7.717648
59.300,4.126613,7.356062
59.400,4.387321,7.016681
59.500,4.670637,6.698418
59.600,4.978380,6.400259
59.700,5.312528,6.121260
59.800,5.675224,5.860543
59.900,6.068795,5.617295
60.000,6.495759,5.390771
